Province/State;Country/Region;Lat;Long;Date;Value;ISO 3166-1 Alpha 3-Codes;Region Code;Sub-region Code;Intermediate Region Code;
;Afghanistan;33.0;65.0;13/05/2020;5226;AFG;142;34;;
;Afghanistan;33.0;65.0;12/05/2020;4963;AFG;142;34;;
;Afghanistan;33.0;65.0;11/05/2020;4687;AFG;142;34;;
;Afghanistan;33.0;65.0;10/05/2020;4402;AFG;142;34;;
;Afghanistan;33.0;65.0;09/05/2020;4033;AFG;142;34;;
;Afghanistan;33.0;65.0;08/05/2020;3778;AFG;142;34;;
;Afghanistan;33.0;65.0;07/05/2020;3563;AFG;142;34;;
;Afghanistan;33.0;65.0;06/05/2020;3392;AFG;142;34;;
;Afghanistan;33.0;65.0;05/05/2020;3224;AFG;142;34;;
;Afghanistan;33.0;65.0;04/05/2020;2894;AFG;142;34;;
;Afghanistan;33.0;65.0;03/05/2020;2704;AFG;142;34;;
;Afghanistan;33.0;65.0;02/05/2020;2469;AFG;142;34;;
;Afghanistan;33.0;65.0;01/05/2020;2335;AFG;142;34;;
;Afghanistan;33.0;65.0;30/04/2020;2171;AFG;142;34;;
;Afghanistan;33.0;65.0;29/04/2020;1939;AFG;142;34;;
;Afghanistan;33.0;65.0;28/04/2020;1828;AFG;142;34;;
;Afghanistan;33.0;65.0;27/04/2020;1703;AFG;142;34;;
;Afghanistan;33.0;65.0;26/04/2020;1531;AFG;142;34;;
;Afghanistan;33.0;65.0;25/04/2020;1463;AFG;142;34;;
;Afghanistan;33.0;65.0;24/04/2020;1351;AFG;142;34;;
;Afghanistan;33.0;65.0;23/04/2020;1279;AFG;142;34;;
;Afghanistan;33.0;65.0;22/04/2020;1176;AFG;142;34;;
;Afghanistan;33.0;65.0;21/04/2020;1092;AFG;142;34;;
;Afghanistan;33.0;65.0;20/04/2020;1026;AFG;142;34;;
;Afghanistan;33.0;65.0;19/04/2020;996;AFG;142;34;;
;Afghanistan;33.0;65.0;18/04/2020;933;AFG;142;34;;
;Afghanistan;33.0;65.0;17/04/2020;906;AFG;142;34;;
;Afghanistan;33.0;65.0;16/04/2020;840;AFG;142;34;;
;Afghanistan;33.0;65.0;15/04/2020;784;AFG;142;34;;
;Afghanistan;33.0;65.0;14/04/2020;714;AFG;142;34;;
;Afghanistan;33.0;65.0;13/04/2020;665;AFG;142;34;;
;Afghanistan;33.0;65.0;12/04/2020;607;AFG;142;34;;
;Afghanistan;33.0;65.0;11/04/2020;555;AFG;142;34;;
;Afghanistan;33.0;65.0;10/04/2020;521;AFG;142;34;;
;Afghanistan;33.0;65.0;09/04/2020;484;AFG;142;34;;
;Afghanistan;33.0;65.0;08/04/2020;444;AFG;142;34;;
;Afghanistan;33.0;65.0;07/04/2020;423;AFG;142;34;;
;Afghanistan;33.0;65.0;06/04/2020;367;AFG;142;34;;
;Afghanistan;33.0;65.0;05/04/2020;349;AFG;142;34;;
;Afghanistan;33.0;65.0;04/04/2020;299;AFG;142;34;;
;Afghanistan;33.0;65.0;03/04/2020;281;AFG;142;34;;
;Afghanistan;33.0;65.0;02/04/2020;273;AFG;142;34;;
;Afghanistan;33.0;65.0;01/04/2020;237;AFG;142;34;;
;Afghanistan;33.0;65.0;31/03/2020;174;AFG;142;34;;
;Afghanistan;33.0;65.0;30/03/2020;170;AFG;142;34;;
;Afghanistan;33.0;65.0;29/03/2020;120;AFG;142;34;;
;Afghanistan;33.0;65.0;28/03/2020;110;AFG;142;34;;
;Afghanistan;33.0;65.0;27/03/2020;110;AFG;142;34;;
;Afghanistan;33.0;65.0;26/03/2020;94;AFG;142;34;;
;Afghanistan;33.0;65.0;25/03/2020;84;AFG;142;34;;
;Afghanistan;33.0;65.0;24/03/2020;74;AFG;142;34;;
;Afghanistan;33.0;65.0;23/03/2020;40;AFG;142;34;;
